company_id,cashflow_health,cashflow_comment,risk_level,cashflow_score
HCLTECH,Average,Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation.,MEDIUM,55
ICICIGI,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
TATACONSUM,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
TATAPOWER,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
HAVELLS,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
HEROMOTOCO,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
TATAMOTORS,Average,Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation.,MEDIUM,55
HINDALCO,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
TATASTEEL,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
INDUSINDBK,Poor,Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,0
PNB,Poor,Negative operating cash flow is a warning sign. Reported earnings may not be strongly supported by cash generation.,HIGH,15
ADANIENSOL,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
PIDILITIND,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
ABB,Average,Operating cash flow remains positive. Reported earnings may not be strongly supported by cash generation.,MEDIUM,55
SUNPHARMA,Strong,Operating cash flow remains positive. Business converts profits into cash efficiently. Reported earnings may not be strongly supported by cash generation.,MEDIUM,70
HINDUNILVR,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
ICICIBANK,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
INDIGO,Weak,Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation.,HIGH,40
