company_id,allocation_quality,allocation_comment,allocation_score
DRREDDY,Strong,Capital employed efficiently. Balance sheet remains conservative.,75
DMART,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
TORNTPHARM,Excellent,Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment.,90
EICHERMOT,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative.,90
DLF,Poor,Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative.,30
NESTLEIND,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
BAJFINANCE,Poor,Weak capital efficiency. High leverage may reduce flexibility.,25
BAJAJHLDNG,Average,Balance sheet remains conservative. Business requires significant capital investment.,50
NTPC,Weak,High leverage may reduce flexibility.,40
TVSMOTOR,Strong,Strong shareholder returns. High leverage may reduce flexibility. Business requires modest capital investment.,65
CIPLA,Strong,Capital employed efficiently. Balance sheet remains conservative.,75
HINDALCO,Average,Low shareholder returns. Capital employed efficiently. Business requires modest capital investment.,60
TATACONSUM,Weak,Low shareholder returns. Balance sheet remains conservative.,45
HINDUNILVR,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
ICICIGI,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
ICICIBANK,Poor,Weak capital efficiency. High leverage may reduce flexibility. Business requires significant capital investment.,15
CHOLAFIN,Poor,Weak capital efficiency. High leverage may reduce flexibility.,25
SUNPHARMA,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
AMBUJACEM,Average,Balance sheet remains conservative. Business requires significant capital investment.,50
ICICIPRULI,Strong,Low shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,70
CANBK,Weak,Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,35
BRITANNIA,Excellent,Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment.,90
INDUSINDBK,Weak,Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,35
SHRIRAMFIN,Weak,Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,35
APOLLOHOSP,Strong,Capital employed efficiently. Business requires modest capital investment.,75
IOC,Excellent,Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment.,90
INFY,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
HEROMOTOCO,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
HDFCLIFE,Strong,Capital employed efficiently. Balance sheet remains conservative.,75
TATAPOWER,Weak,High leverage may reduce flexibility.,40
TATAMOTORS,Excellent,Strong shareholder returns. Capital employed efficiently. High leverage may reduce flexibility. Business requires modest capital investment.,80
ADANIPOWER,Excellent,Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment.,90
SHREECEM,Strong,Low shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,70
SIEMENS,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
IRCTC,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
BPCL,Excellent,Strong shareholder returns. Capital employed efficiently. Business requires modest capital investment.,90
ITC,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
ASIANPAINT,Excellent,Strong shareholder returns. Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,100
SBILIFE,Average,Balance sheet remains conservative.,60
IRFC,Weak,Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment.,35
JIOFIN,Poor,Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires significant capital investment.,20
JINDALSTEL,Average,Balance sheet remains conservative.,60
HAVELLS,Excellent,Capital employed efficiently. Balance sheet remains conservative. Business requires modest capital investment.,85
